"model","metric","n","mean","sd","median","min","max","se","ci_lower","ci_upper"
"RF","BalancedAccuracy",100,0.590013157894737,0.083864806217417,0.585964912280702,0.317543859649123,0.775,0.0083864806217417,0.573372560880926,0.606653754908548
"RF","NPV",100,0.63841194027066,0.0773428870533855,0.633971291866029,0.384615384615385,0.833333333333333,0.00773428870533855,0.623065433513063,0.653758447028256
"RF","PPV",100,0.550672883024007,0.101384791656231,0.545454545454545,0.25,0.8,0.0101384791656231,0.530555940800272,0.570789825247742
"RF","ROC",100,0.642145614035088,0.0920572327954271,0.65438596491228,0.396491228070175,0.870175438596491,0.00920572327954271,0.623879461852205,0.66041176621797
"RF","Sens",100,0.52,0.126774719108988,0.533333333333333,0.266666666666667,0.8,0.0126774719108988,0.494845145331134,0.545154854668866
"RF","Spec",100,0.660026315789474,0.11965930386932,0.68421052631579,0.263157894736842,0.894736842105263,0.011965930386932,0.63628331387422,0.683769317704727
"RLR","BalancedAccuracy",100,0.605964912280702,0.0705482245781795,0.601754385964912,0.396491228070175,0.780701754385965,0.00705482245781795,0.591966613969467,0.619963210591937
"RLR","NPV",100,0.635808450278617,0.0533490403636569,0.62962962962963,0.476190476190476,0.772727272727273,0.00533490403636569,0.625222843254574,0.646394057302661
"RLR","PPV",100,0.634288739038739,0.128959085161868,0.625,0.307692307692308,1,0.0128959085161868,0.608700458754813,0.659877019322665
"RLR","ROC",100,0.691125438596491,0.0887892009829202,0.693859649122807,0.449122807017544,0.864912280701754,0.00887892009829202,0.673507734825679,0.708743142367304
"RLR","Sens",100,0.408666666666667,0.113174775201292,0.4,0.2,0.666666666666667,0.0113174775201292,0.386210335922028,0.431122997411305
"RLR","Spec",100,0.803263157894737,0.101753093540711,0.8,0.526315789473684,1,0.0101753093540711,0.783073136586753,0.823453179202721
"XGB","BalancedAccuracy",100,0.607232456140351,0.0817902902244453,0.605043859649123,0.429824561403509,0.780701754385965,0.00817902902244453,0.591003488106499,0.623461424174203
"XGB","NPV",100,0.645864821178058,0.0698001588591647,0.64,0.5,0.866666666666667,0.00698001588591647,0.63201495533488,0.659714687021235
"XGB","PPV",100,0.597708156781299,0.115975492046334,0.6,0.333333333333333,0.875,0.0115975492046334,0.574696103052608,0.62072021050999
"XGB","ROC",100,0.694664035087719,0.0895259183711033,0.705131578947368,0.431578947368421,0.898245614035088,0.00895259183711033,0.676900150603891,0.712427919571548
"XGB","Sens",100,0.461333333333333,0.154739562526843,0.466666666666667,0.133333333333333,0.866666666666667,0.0154739562526843,0.43062964702865,0.492037019638016
"XGB","Spec",100,0.753131578947368,0.109540102101896,0.789473684210526,0.421052631578947,0.947368421052632,0.0109540102101896,0.73139644620046,0.774866711694277
